chapter_number,country,year,country_risk_level,country_risk_score,coverage_signal,compiler_action,private_record_count,private_page_count,partial_private_records,private_source_mix,private_record_titles,print_candidate_count,high_priority_print_candidates,medium_priority_print_candidates,undated_or_out_of_scope_country_print_candidates,undated_or_out_of_scope_high_priority_print_candidates,print_source_mix,top_print_leads,public_statement_count,public_statement_titles,daily_diary_reference_count,linked_daily_diary_references,daily_diary_reference_titles,recommended_country_actions,risk_signals
1,Argentina,1989,Monitor,26,"Private record present; high print pressure",Triage high-priority leads against the verified private records for possible print additions or annotations.,5,26,0,"Presidential Telcon Files: 3; Presidential Memcon Files: 1; Scowcroft extract: 1","1989-01-23 - Telcon - Telephone Call from the President to President Alfonsin of Argentina, January 23, 1989; 1989-05-13 - Telcon - The President's Telephone Conversation with Argentine President Raul Alfonsin, May 13, 1989; 1989-09-27 - Memcon - Meeting with President Carlos Menem of Argentina; 1989-09-27 - Memcon - Meeting with President Carlos Menem of Argentina, September 27, 1989; 1989-12-20 - Telcon - Telephone Conversation with President Menem of Argentina, December 20, 1989",101,69,30,36,17,"Latin American Affairs Directorate Subject Files: 55; Latin American Directorate Chronological Files: 46","February 9, 1989 - High - 90 - Letter from President Alfonsin Requesting; February 9, 1989 - High - 90 - Letter from President Alfonsin Requesting; February 13, 1989 - High - 90 - Letter to President Alfonsin of Argentina; April 5, 1989 - High - 90 - Lette rom Laurence W. Levine Regarding Argentine; April 27, 1989 - High - 90 - Your Meeting with Rodolfo Terragano and Felix; May 8, 1989 - High - 90 - PCC Meeting on Argentina; May 14, 1989 - High - 90 - Letter to President Alfonsin of Argentina; June 27, 1989 - High - 90 - Attendance at Argentine Inauguration; July 5, 1989 - High - 90 - Letter from President Bush to Argentine President; July 5, 1989 - High - 90 - Letter from President Bush to Argentine President",4,"1989-03-17 - Nomination of Terence A. Todman To Be United States Ambassador to Argentina; 1989-06-01 - Remarks and a Question-and-Answer Session Following Discussions With Prime Minister Margaret Thatcher in London; 1989-06-30 - Remarks Announcing the Proposed Constitutional Amendment on Desecration of the Flag; 1989-09-27 - Statement by Press Secretary Fitzwater on President Bush's Meeting With President Carlos Saul Menem of Argentina",24,9,"1989-01-23 - Presidential Daily Backup - [Presidential Daily Backup] 1/23/1989; 1989-01-23 - Presidential Daily Diary - [Presidential Daily Diary] 1/23/1989 [EMPTY]; 1989-05-11 - Presidential Daily Backup - [Presidential Daily Backup] 5/11/1989; 1989-05-11 - Presidential Daily Diary - [Presidential Daily Diary] 5/11/1989; 1989-05-13 - Presidential Daily Backup - [Presidential Daily Backup] 5/13/1989; 1989-05-13 - Presidential Daily Diary - [Presidential Daily Diary] 5/13/1989; 1989-06-08 - Presidential Daily Backup - [Presidential Daily Backup] 6/8/1989; 1989-06-08 - Presidential Daily Diary - [Presidential Daily Diary] 6/8/1989; 1989-06-21 - Presidential Daily Backup - [Presidential Daily Backup] 6/21/1989; 1989-06-30 - Presidential Daily Backup - [Presidential Daily Backup] 6/30/1989","Flag partial releases for possible replacement, re-review, or annotation.","87 high-priority print leads require triage.; 1 private record(s) are partial releases."
1,Argentina,1990,Monitor,26,Coverage present,Use existing private records as the anchor and scan leads only for annotation or missing-decision context.,7,31,0,"Scowcroft extract: 3; Presidential Memcon Files: 2; Presidential Telcon Files: 2","1990-03-01 - Telcon - Telephone conversation with President Carlos Menem of Argentina (U); 1990-03-01 - Telcon - Telephone conversation with President Carlos Menem of Argentina, March 1, 1990; 1990-06-28 - Telcon - Telephone Conversation with President Carlos Sail Menem of Argentina (VU); 1990-06-28 - Telcon - Telephone Conversation with President Carlos Saul Menem of Argentina, June 28, 1990; 1990-10-01 - Memcon - Meeting with President Carlos Saul Menem of Argentina, October 1, 1990; 1990-12-05 - Memcon - Luncheon with President Carlos Saul Menem of Argentina (U); 1990-12-05 - Memcon - Luncheon with President Carlos Saul Menem of Argentina, December 5, 1990",1,1,0,36,17,Timothy E. Deal Subject Files: 1,"December 6, 1990 - High - 92 - Uruguay Round Report",16,"1990-03-05 - Statement on the Economic Situation in Argentina; 1990-03-13 - The President's News Conference; 1990-05-22 - Remarks to the Council of the Americas; 1990-09-14 - Remarks on Transmitting the Enterprise for the Americas Initiative Act of 1990; 1990-11-29 - Statement by Press Secretary Fitzwater on Argentine and Brazilian Compliance With Nuclear Safeguards and Nonproliferation Regimes; 1990-11-30 - Written Responses to Questions Submitted by the South American Press; 1990-12-03 - Remarks at a Luncheon for the Business Community in Brasilia, Brazil; 1990-12-03 - Remarks to a Joint Session of the Congress in Brasilia, Brazil; 1990-12-04 - Question-and-Answer Session With Reporters in Montevideo, Uruguay; 1990-12-04 - Remarks to a Joint Session of the Congress in Montevideo, Uruguay",29,12,"1990-01-11 - Presidential Daily Backup - [Presidential Daily Backup] 1/11/1990; 1990-03-01 - Presidential Daily Backup - [Presidential Daily Backup] 3/1/1990; 1990-03-01 - Presidential Daily Diary - [Presidential Daily Diary] 3/1/1990; 1990-03-05 - Presidential Daily Backup - [Presidential Daily Backup] 3/5/1990; 1990-03-13 - Presidential Daily Backup - [Presidential Daily Backup] 3/13/1990; 1990-04-18 - Presidential Daily Backup - [Presidential Daily Backup] 4/18/1990; 1990-05-14 - Presidential Daily Backup - [Presidential Daily Backup] 5/14/1990; 1990-05-22 - Presidential Daily Backup - [Presidential Daily Backup] 5/22/1990; 1990-06-28 - Presidential Daily Backup - [Presidential Daily Backup] 6/28/1990; 1990-06-28 - Presidential Daily Diary - [Presidential Daily Diary] 6/28/1990","Flag partial releases for possible replacement, re-review, or annotation.","87 high-priority print leads require triage.; 1 private record(s) are partial releases."
1,Argentina,1991,Monitor,26,Coverage present,Use existing private records as the anchor and scan leads only for annotation or missing-decision context.,12,39,0,"Presidential Telcon Files: 5; Scowcroft extract: 5; Presidential Memcon Files: 2","1991-01-14 - Telcon - Telephone conversation with President Carlos Menem of Argentina (U); 1991-01-14 - Telcon - Telephone conversation with President Carlos Menem of Argentina, January 14, 1991; 1991-01-19 - Telcon - Telephone conversation with President Carlos Menem of Argentina (U); 1991-01-19 - Telcon - Telephone Conversation with President Carlos Menem of Argentina, January 19, 1991; 1991-02-08 - Memcon - Meeting with Foreign Minister Guido Di Tella of Argentina, February 8, 1991; 1991-02-08 - Telcon - Telephone conversation with President Carlos Menem of Argentina (U); 1991-02-08 - Telcon - Telephone Conversation with President Carlos Menem of Argentina, February 8, 1991; 1991-03-04 - Telcon - Telephone conversation with President Menem of Argentina (U); 1991-03-04 - Telcon - Telephone Conversation with President Menem of Argentina, March 4, 1991; 1991-08-20 - Telcon - Telcon with President Carlos Menem of Argentina on August 20, 1991; 1991-08-20 - Telcon - Telcon with President Carlos Menem of Argentina on August 20, 1991 (JU); 1991-11-14 - Memcon - Meeting with Carlos Menem, President of Argentina, November 14, 1991",0,0,0,36,17,,,12,"1991-02-08 - Exchange With Reporters on the Persian Gulf Conflict; 1991-06-18 - Remarks at the Welcoming Ceremony for President Fernando Collor de Mello of Brazil; 1991-06-19 - Remarks by President Bush and President Collor of Brazil on Signing an Enterprise for the Americas Initiative Multilateral Trade Agreement; 1991-06-19 - Statement by Press Secretary Fitzwater on the Establishment of the Council on Trade and Investment; 1991-06-27 - Remarks Commemorating the First Anniversary of the Enterprise for the Americas Initiative and an Exchange With Reporters; 1991-07-15 - Exchange With Reporters in London, United Kingdom; 1991-08-21 - The President's News Conference in Kennebunkport, Maine, on the Attempted Coup in the Soviet Union; 1991-10-31 - Message to the Senate Transmitting the Argentina-United States Legal Assistance Treaty; 1991-11-14 - Remarks at the Welcoming Ceremony for President Carlos Menem of Argentina; 1991-11-14 - Statement by Press Secretary Fitzwater on the President's Meeting with President Levon Ter-Petrosian of Armenia",37,14,"1991-01-14 - Presidential Daily Backup - [Presidential Daily Backup] 1/14/1991; 1991-01-14 - Presidential Daily Diary - [Presidential Daily Diary] 1/14/1991; 1991-01-19 - Presidential Daily Backup - [Presidential Daily Backup] 1/19/1991; 1991-01-19 - Presidential Daily Diary - [Presidential Daily Diary] 1/19/1991; 1991-02-08 - Presidential Daily Backup - [Presidential Daily Backup] 2/8/1991; 1991-02-08 - Presidential Daily Diary - [Presidential Daily Diary] 2/8/1991; 1991-03-04 - Presidential Daily Backup - [Presidential Daily Backup] 3/4/1991; 1991-03-04 - Presidential Daily Diary - [Presidential Daily Diary] 3/4/1991; 1991-04-11 - Presidential Daily Backup - [Presidential Daily Backup] 4/11/1991; 1991-04-11 - Presidential Daily Diary - [Presidential Daily Diary] 4/11/1991","Flag partial releases for possible replacement, re-review, or annotation.","87 high-priority print leads require triage.; 1 private record(s) are partial releases."
1,Argentina,1992,Monitor,26,Private record includes partial release,Check parallel files and later releases for less-redacted copies before selecting or annotating.,7,20,1,"Presidential Telcon Files: 4; Scowcroft extract: 3","1992-01-16 - Telcon - Telcon with President Carlos Saul Menem of Argentina on January 16, 1992; 1992-04-07 - Telcon - Telcon with President Carlos Menem of Argentina on April 71 1992, April 7, 1992; 1992-10-31 - Telcon - Telcon with Carlos Menem President of Argentina on October 31, 1992 (); 1992-11-05 - Telcon - Telcon with Carlos Saul Menem of Argentina on November 5, 1992; 1992-11-05 - Telcon - Telcon with Carlos Saul Menem of Argentina on November 5, 1992; 1992-12-01 - Telcon - Telcon with President Carlos Menem of Argentina on December 1, 1992; 1992-12-01 - Telcon - Telcon with President Carlos Menem of Argentina on December 1, 1992 (D)",0,0,0,36,17,,,13,"1992-01-15 - Remarks to Liberty Mutual Insurance Employees in Dover; 1992-03-31 - Message to the Congress Reporting on the National Emergency With Respect to Export Controls; 1992-04-09 - Remarks to the American Society of Newspaper Editors; 1992-04-10 - The President's News Conference; 1992-04-21 - Remarks to the Young Presidents' Organization; 1992-04-23 - Remarks to the Forum of the Americas; 1992-04-24 - Teleconference Remarks to the National Association of Hispanic Journalists; 1992-05-08 - Nomination of William Graham Walker To Be United States Ambassador to Argentina; 1992-05-20 - Message to the Congress Reporting on the National Emergency With Respect to Chemical and Biological Weapons Proliferation; 1992-09-17 - Remarks to the Community in Enid, Oklahoma",24,11,"1992-01-03 - Presidential Daily Backup - [Presidential Daily Backup] 1/3/1992; 1992-01-16 - Presidential Daily Backup - [Presidential Daily Backup] 1/16/1992; 1992-01-16 - Presidential Daily Diary - [Presidential Daily Diary] 1/16/1992; 1992-01-22 - Presidential Daily Backup - [Presidential Daily Backup] 1/22/1992; 1992-02-10 - Presidential Daily Backup - [Presidential Daily Backup] 2/10/1992; 1992-02-20 - Presidential Daily Backup - [Presidential Daily Backup] 2/20/1992; 1992-02-20 - Presidential Daily Diary - [Presidential Daily Diary] 2/20/1992; 1992-04-07 - Presidential Daily Backup - [Presidential Daily Backup] 4/7/1992; 1992-04-07 - Presidential Daily Diary - [Presidential Daily Diary] 4/7/1992; 1992-04-09 - Presidential Daily Backup - [Presidential Daily Backup] 4/9/1992","Flag partial releases for possible replacement, re-review, or annotation.","87 high-priority print leads require triage.; 1 private record(s) are partial releases."
2,Bolivia,1989,Critical,95,"Thin private record; high print pressure",Use high-priority print leads to test whether the private chronology is only a presidential-contact skeleton.,1,3,0,Presidential Telcon Files: 1,"1989-07-07 - Telcon - Telephone Conversation with Victor Paz Estenssoro of Bolivia, July 7, 1989",48,29,19,31,18,"Latin American Affairs Directorate Subject Files: 27; Latin American Directorate Chronological Files: 21","May 11, 1989 - High - 90 - Recommendation for Telephone Call by the; July 13, 1989 - High - 90 - Recommendation that the President Name an Official; September 16, 1989 - High - 90 - Meeting with President Bush for the Chiefs of Mission; September 18, 1989 - High - 90 - Request for Meeting with the President for U.S.; September 18, 1989 - High - 90 - Request for Meeting with the President for U.S.; October 30, 1989 - High - 90 - Telephone Call to Colombian President; October 30, 1989 - High - 90 - Telephone Call to Colombian President; November 22, 1989 - High - 90 - Telephone Call to Colombian President; December 4, 1989 - High - 90 - Report by Bruce Gelb on His Trip to the Andean; December 4, 1989 - High - 90 - Report by Bruce Gelb on His Trip to the Andean",9,"1989-02-08 - Remarks and a Question-and-Answer Session With Reporters Prior to a Meeting With William J. Bennett; 1989-03-03 - Remarks on Drug Trafficking Prior to a Luncheon With Administration Officials; 1989-03-09 - Remarks to Drug Enforcement Administration Officers in New York, New York; 1989-03-22 - Question-and-Answer Session at the Wilmington Cluster Against Substance Abuse Program in Delaware; 1989-03-22 - Remarks to the Law Enforcement Community in Wilmington, Delaware; 1989-04-27 - Remarks at the International Drug Enforcement Conference in Miami, Florida; 1989-08-15 - The President's News Conference; 1989-08-31 - News Conference of the President and Prime Minister Brian Mulroney of Canada in Kennebunkport, Maine; 1989-09-06 - The President's News Conference on the National Drug Control Strategy",21,7,"1989-03-03 - Presidential Daily Backup - [Presidential Daily Backup] 3/3/1989; 1989-03-03 - Presidential Daily Diary - [Presidential Daily Diary] 3/3/1989; 1989-03-10 - Presidential Daily Backup - [Presidential Daily Backup] 3/10/1989; 1989-03-22 - Presidential Daily Backup - [Presidential Daily Backup] 3/22/1989; 1989-04-27 - Presidential Daily Backup - [Presidential Daily Backup] 4/27/1989; 1989-05-11 - Presidential Daily Backup - [Presidential Daily Backup] 5/11/1989; 1989-05-11 - Presidential Daily Diary - [Presidential Daily Diary] 5/11/1989; 1989-07-07 - Presidential Daily Backup - [Presidential Daily Backup] 7/7/1989; 1989-07-07 - Presidential Daily Diary - [Presidential Daily Diary] 7/7/1989; 1989-08-15 - Presidential Daily Backup - [Presidential Daily Backup] 8/15/1989","Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton.; Build a public-private chronology and look for missing decision documents around statement dates.; Flag partial releases for possible replacement, re-review, or annotation.","Four or fewer released private records are in the country chapter.; 47 high-priority print leads exist against a thin private-record chapter.; 47 public statements contrast with sparse private records.; 1 private record(s) are partial releases."
2,Bolivia,1990,Critical,95,Private record includes partial release,Check parallel files and later releases for less-redacted copies before selecting or annotating.,3,18,1,"Presidential Memcon Files: 2; Scowcroft extract: 1","1990-02-15 - Memcon - Cartagena Drug Summit; 1990-05-08 - Memcon - Meetihg with President Jaime Paz Zamora of Bolivia, May 8, 1990 (2 of 2); 1990-05-08 - Memcon - Meeting with President Jaime Paz Zamora of Bolivia, May 8, 1990 (1 of 2)",0,0,0,31,18,,,20,"1990-01-22 - Statement by Press Secretary Fitzwater on the Overseas Private Investment Corporation Mission to Panama; 1990-02-12 - The President's News Conference; 1990-02-15 - Statement on the Drug Summit in Cartagena, Colombia; 1990-02-15 - The President's News Conference Following the Drug Summit in Cartagena, Colombia; 1990-02-21 - Remarks and a Question-and-Answer Session at the Annual Dinner of the Business Council; 1990-02-28 - Remarks at a Fundraising Dinner for Gubernatorial Candidate Pete Wilson in San Francisco, California; 1990-03-01 - Statement by Press Secretary Fitzwater on Narcotics Control Certification; 1990-03-02 - Remarks to the Academy of Television Arts and Sciences in Los Angeles, California; 1990-05-07 - Statement by Press Secretary Fitzwater Announcing Importation Restrictions on Archeological Treasures From Peru; 1990-05-08 - Remarks Following Discussions With President Jaime Paz Zamora of Bolivia",16,6,"1990-02-12 - Presidential Daily Backup - [Presidential Daily Backup] 2/12/1990; 1990-02-15 - Presidential Daily Backup - [Presidential Daily Backup] 2/15/1990; 1990-02-15 - Presidential Daily Diary - [Presidential Daily Diary] 2/15/1990; 1990-04-18 - Presidential Daily Backup - [Presidential Daily Backup] 4/18/1990; 1990-05-08 - Presidential Daily Backup - [Presidential Daily Backup] 5/8/1990; 1990-05-08 - Presidential Daily Diary - [Presidential Daily Diary] 5/8/1990; 1990-05-22 - Presidential Daily Backup - [Presidential Daily Backup] 5/22/1990; 1990-06-27 - Presidential Daily Backup - [Presidential Daily Backup] 6/27/1990; 1990-07-23 - Presidential Daily Backup - [Presidential Daily Backup] 7/23/1990; 1990-09-14 - Presidential Daily Backup - [Presidential Daily Backup] 9/14/1990","Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton.; Build a public-private chronology and look for missing decision documents around statement dates.; Flag partial releases for possible replacement, re-review, or annotation.","Four or fewer released private records are in the country chapter.; 47 high-priority print leads exist against a thin private-record chapter.; 47 public statements contrast with sparse private records.; 1 private record(s) are partial releases."
2,Bolivia,1991,Critical,95,"No private records; public-private mismatch","Map public statements to surrounding briefing papers, memoranda, cables, and schedule records for this country-year.",0,0,0,,,0,0,0,31,18,,,6,"1991-03-01 - Presidential Determination No. 91-22--Memorandum on Narcotics Control Certification; 1991-04-12 - Nomination of Charles R. Bowers To Be United States Ambassador to Bolivia; 1991-08-22 - Statement by Press Secretary Fitzwater on the Reduction of Bolivia's Debt to the United States; 1991-10-28 - Statement by Press Secretary Fitzwater on the Proposed Antinarcotics Summit; 1991-11-14 - Remarks at the Welcoming Ceremony for President Carlos Menem of Argentina; 1991-12-04 - Statement on Signing Legislation on Trade and Unemployment Benefits",5,0,"1991-06-10 - Presidential Daily Backup - [Presidential Daily Backup] 6/10/1991; 1991-07-10 - Presidential Daily Backup - [Presidential Daily Backup] 7/10/1991; 1991-08-22 - Presidential Daily Backup - [Presidential Daily Backup] 8/22/1991; 1991-10-31 - Presidential Daily Backup - [Presidential Daily Backup] 10/31/1991; 1991-12-13 - Presidential Daily Backup - [Presidential Daily Backup] 12/13/1991","Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton.; Build a public-private chronology and look for missing decision documents around statement dates.; Flag partial releases for possible replacement, re-review, or annotation.","Four or fewer released private records are in the country chapter.; 47 high-priority print leads exist against a thin private-record chapter.; 47 public statements contrast with sparse private records.; 1 private record(s) are partial releases."
2,Bolivia,1992,Critical,95,"No private records; public-private mismatch","Map public statements to surrounding briefing papers, memoranda, cables, and schedule records for this country-year.",0,0,0,,,0,0,0,31,18,,,12,"1992-01-22 - Statement by Press Secretary Fitzwater Announcing the Drug Summit in San Antonio, Texas; 1992-01-27 - Remarks at a Drug Control Strategy Meeting; 1992-02-26 - Exchange With Reporters Prior to Discussions With President Jaime Paz Zamora of Bolivia in San Antonio; 1992-02-26 - Remarks at the State Dinner for Drug Summit Participants in San Antonio; 1992-02-27 - Declaration of San Antonio; 1992-02-27 - Text of Remarks at the Opening Session of the Drug Summit in San Antonio; 1992-02-27 - The President's News Conference With the Drug Summit Participants in San Antonio; 1992-02-28 - Presidential Determination No. 92-18--Memorandum on Certification for Major Narcotics Producing and Transit Countries; 1992-07-02 - Letter to Congressional Leaders on Trade With Bolivia; 1992-07-03 - Statement by Press Secretary Fitzwater on the Andean Trade Preference Act",8,1,"1992-01-27 - Presidential Daily Backup - [Presidential Daily Backup] 1/27/1992; 1992-01-27 - Presidential Daily Diary - [Presidential Daily Diary] 1/27/1992; 1992-02-26 - Presidential Daily Backup - [Presidential Daily Backup] 2/26/1992; 1992-02-27 - Presidential Daily Backup - [Presidential Daily Backup] 2/27/1992; 1992-05-07 - Presidential Daily Backup - [Presidential Daily Backup] 5/7/1992; 1992-05-08 - Presidential Daily Backup - [Presidential Daily Backup] 5/8/1992; 1992-05-12 - Presidential Daily Backup - [Presidential Daily Backup] 5/12/1992; 1992-09-09 - Presidential Daily Backup - [Presidential Daily Backup] 9/9/1992","Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton.; Build a public-private chronology and look for missing decision documents around statement dates.; Flag partial releases for possible replacement, re-review, or annotation.","Four or fewer released private records are in the country chapter.; 47 high-priority print leads exist against a thin private-record chapter.; 47 public statements contrast with sparse private records.; 1 private record(s) are partial releases."
3,Brazil,1989,Monitor,28,"Private record present; high print pressure",Triage high-priority leads against the verified private records for possible print additions or annotations.,3,11,0,"Presidential Memcon Files: 2; Presidential Telcon Files: 1","1989-02-25 - Memcon - President's Meeting with President Jose Sarney of Brazil, February 25, 1989; 1989-05-17 - Telcon - Telcon with President Sarney of Brazil, May 17, 1989; 1989-09-25 - Memcon - Meeting with Jose Sarney, September 25, 1989",61,42,13,53,20,"Latin American Affairs Directorate Subject Files: 35; Latin American Directorate Chronological Files: 26","February 10, 1989 - High - 90 - Presidential Letter to Brazilian President Sarney; February 10, 1989 - High - 90 - Presidential Letter to Brazilian President Sarney; February 16, 1989 - High - 90 - Letter to President Sarney of Brazil; February 16, 1989 - High - 90 - Presidential Letter to Brazilian President; February 16, 1989 - High - 90 - Presidential Letter to Brazilian President; February 23, 1989 - High - 90 - Background for the President’s Meeting with Sarney; June 15, 1989 - High - 90 - Presidential Response to a Letter on Panama from; June 15, 1989 - High - 90 - Presidential Response to a Letter on Panama from; June 17, 1989 - High - 90 - Panama -~ Recommendation that President Bush; June 21, 1989 - High - 90 - Nicaragua -- Recommendation that President",8,"1989-02-25 - The President's News Conference in Tokyo; 1989-02-27 - Remarks Upon Returning From a Trip to the Far East; 1989-05-02 - Remarks to the Council of the Americas; 1989-05-26 - Statement on United States Action Against Foreign Trade Barriers; 1989-06-08 - Remarks to Members of Ducks Unlimited; 1989-06-13 - Remarks to Students at the Teton Science School in Grand Teton National Park, Wyoming; 1989-09-18 - Nomination of Richard H. Melton To Be United States Ambassador to Brazil; 1989-09-18 - Remarks at the Montana Centennial Celebration in Helena",31,6,"1989-02-22 - Presidential Daily Backup - [Presidential Daily Backup] 2/22/1989; 1989-02-23 - Presidential Daily Backup - [Presidential Daily Backup] 2/23/1989; 1989-02-24 - Presidential Daily Backup - [Presidential Daily Backup] 2/24/1989; 1989-02-25 - Presidential Daily Backup - [Presidential Daily Backup] 2/25/1989; 1989-02-25 - Presidential Daily Diary - [Presidential Daily Diary] 2/25/1989 [EMPTY]; 1989-02-26 - Presidential Daily Backup - [Presidential Daily Backup] 2/26/1989; 1989-02-27 - Presidential Daily Backup - [Presidential Daily Backup] 2/27/1989; 1989-03-06 - Presidential Daily Backup - [Presidential Daily Backup] 3/6/1989; 1989-03-13 - Presidential Daily Backup - [Presidential Daily Backup] 3/13/1989; 1989-05-02 - Presidential Daily Backup - [Presidential Daily Backup] 5/2/1989","Maintain as lower-risk, but still check high-priority print leads before final compilation decisions.","63 high-priority print leads require triage.; 66 public statements indicate substantial public diplomacy or policy activity."
3,Brazil,1990,Monitor,28,Coverage present,Use existing private records as the anchor and scan leads only for annotation or missing-decision context.,6,25,0,"Presidential Memcon Files: 3; Presidential Telcon Files: 3","1990-01-26 - Memcon - Meeting with Fernando Collor de Mello of Brazil, January 26, 1990; 1990-03-23 - Telcon - Telephone conversation with President Fernando Collor of Brazil, March 23, 1990; 1990-06-06 - Telcon - Telephone Conversation with President Fernando Collor de Mello of Brazil, June 6, 1990; 1990-06-28 - Telcon - Telephone Conversation with President Fernando Collor de Mello of Brazil, June 28, 1990; 1990-10-01 - Memcon - Memorandum of Conversation with President Collor of Brazil, October 1, 1990; 1990-12-03 - Memcon - Meeting with President Fernando Col lor de Mello of Brazil, December 3, 1990",1,1,0,53,20,Timothy E. Deal Subject Files: 1,"December 6, 1990 - High - 92 - Uruguay Round Report",23,"1990-01-11 - Remarks Following Discussions With Prime Minister Anibal Cavaco Silva of Portugal; 1990-01-26 - Statement by Press Secretary Fitzwater on President Bush's Meeting With President-Elect Fernando Collor de Mello of Brazil; 1990-02-15 - The President's News Conference Following the Drug Summit in Cartagena, Colombia; 1990-02-28 - Remarks at a Fundraising Dinner for Gubernatorial Candidate Pete Wilson in San Francisco, California; 1990-03-01 - Statement by Press Secretary Fitzwater on Narcotics Control Certification; 1990-04-18 - Remarks at the Closing Session of the White House Conference on Science and Economics Research Related to Global Change; 1990-05-22 - Remarks to the Council of the Americas; 1990-06-07 - Remarks at a Fundraising Dinner for Gubernatorial Candidate Jim Edgar in Chicago, Illinois; 1990-07-09 - Remarks at the Welcoming Ceremony for the Houston Economic Summit; 1990-07-11 - Remarks on Presenting the Final Communique of the Houston Economic Summit",31,16,"1990-01-26 - Presidential Daily Backup - [Presidential Daily Backup] 1/26/1990; 1990-01-26 - Presidential Daily Diary - [Presidential Daily Diary] 1/26/1990; 1990-03-23 - Presidential Daily Backup - [Presidential Daily Backup] 3/23/1990; 1990-03-23 - Presidential Daily Diary - [Presidential Daily Diary] 3/23/1990; 1990-04-09 - Presidential Daily Backup - [Presidential Daily Backup] 4/9/1990; 1990-04-30 - Presidential Daily Diary - [Presidential Daily Diary] 4/30/1990; 1990-05-06 - Presidential Daily Backup - [Presidential Daily Backup] 5/6/1990; 1990-05-22 - Presidential Daily Backup - [Presidential Daily Backup] 5/22/1990; 1990-06-06 - Presidential Daily Backup - [Presidential Daily Backup] 6/6/1990; 1990-06-06 - Presidential Daily Diary - [Presidential Daily Diary] 6/6/1990","Maintain as lower-risk, but still check high-priority print leads before final compilation decisions.","63 high-priority print leads require triage.; 66 public statements indicate substantial public diplomacy or policy activity."
