selection_rank,selection_score,selection_band,compiler_action,record_class,source_note_status,selection_flags,country_risk_level,country_risk_score,primary_chapter_country,countries,sort_date,display_date,volume_date_scope,document_type,title,subject_or_context,priority_or_release_status,source_score,page_count_or_range,themes_or_topics,same_date_diary_backup_count,nearby_high_priority_print_lead_count,nearby_high_priority_print_leads,nearby_private_records_14_days,nearby_public_statement_count_7_days,source_series,source_folder_or_title,source_note,provenance_note,pdf_url,catalog_or_details_url,page_link,record_id
1,140,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,95,Bolivia,Bolivia,1989-07-13,"July 13, 1989",Volume date range,Memorandum,Recommendation that the President Name an Official,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy, panama spillover; document text visible in OCR",High,90,94,"democracy; presidential diplomacy; panama spillover",,,,-6d 1989-07-07 - Memorandum of Telephone Conversation,,Latin American Directorate Chronological Files,"July 16, 1989-July 30, 1989 [2]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-005, July 16, 1989-July 30, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-005.pdf,https://catalog.archives.gov/id/470766442,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-005.pdf#page=94,chronological-print-470766442-94-memorandum
2,140,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,95,Bolivia,"Bolivia; Colombia; Peru",1989-09-16,"September 16, 1989",Volume date range,Memorandum,Meeting with President Bush for the Chiefs of Mission,"memorandum form; Presidential or NSC principals; narcotics, presidential diplomacy; document text visible in OCR",High,90,82,"narcotics; presidential diplomacy",,,,"+10d 1989-09-26 - Memorandum of Telephone Conversation; +12d 1989-09-28 - Memorandum of Conversation",,Latin American Directorate Chronological Files,"September 16, 1989-September 30, 1989 [4]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-020, September 16, 1989-September 30, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-020.pdf,https://catalog.archives.gov/id/470766457,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-020.pdf#page=82,chronological-print-470766457-82-memorandum
3,140,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,95,Bolivia,"Bolivia; Colombia; Peru",1989-09-18,"September 18, 1989",Volume date range,Memorandum,Request for Meeting with the President for U.S.,"memorandum form; Presidential or NSC principals; narcotics, presidential diplomacy; document text visible in OCR",High,90,76,"narcotics; presidential diplomacy",,,,"+8d 1989-09-26 - Memorandum of Telephone Conversation; +10d 1989-09-28 - Memorandum of Conversation",,Latin American Directorate Chronological Files,"September 16, 1989-September 30, 1989 [4]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-020, September 16, 1989-September 30, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-020.pdf,https://catalog.archives.gov/id/470766457,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-020.pdf#page=76,chronological-print-470766457-76-memorandum
4,140,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,95,Bolivia,"Bolivia; Colombia; Peru",1989-09-18,"September 18, 1989",Volume date range,Memorandum,Request for Meeting with the President for U.S.,"memorandum form; Presidential or NSC principals; narcotics, presidential diplomacy; document text visible in OCR",High,90,49,"narcotics; presidential diplomacy",,,,"+8d 1989-09-26 - Memorandum of Telephone Conversation; +10d 1989-09-28 - Memorandum of Conversation",,Latin American Affairs Directorate Subject Files,"Colombia - January 20, 1989-December 31, 1989 [3]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-009, Colombia - January 20, 1989-December 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2001-0434-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-009.pdf,https://catalog.archives.gov/id/470766566,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-009.pdf#page=49,subject-print-470766566-49-memorandum
5,140,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,95,Bolivia,"Bolivia; Colombia; Peru",1989-10-30,"October 30, 1989",Volume date range,Memorandum,Telephone Call to Colombian President,"memorandum form; Presidential or NSC principals; narcotics, presidential diplomacy, regional policy; document text visible in OCR",High,90,36,"narcotics; presidential diplomacy; regional policy",,,,+0d 1989-10-30 - Memorandum of Telephone Conversation,,Latin American Directorate Chronological Files,"October 16, 1989-October 31, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00303, CF00303-004, October 16, 1989-October 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-004.pdf,https://catalog.archives.gov/id/470766461,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-004.pdf#page=36,chronological-print-470766461-36-memorandum
6,140,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,95,Bolivia,"Bolivia; Colombia; Peru",1989-10-30,"October 30, 1989",Volume date range,Memorandum,Telephone Call to Colombian President,"memorandum form; Presidential or NSC principals; narcotics, presidential diplomacy, regional policy; document text visible in OCR",High,90,84,"narcotics; presidential diplomacy; regional policy",,,,+0d 1989-10-30 - Memorandum of Telephone Conversation,,Latin American Affairs Directorate Subject Files,"Colombia - January 20, 1989-December 31, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-007, Colombia - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2001-0434-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-007.pdf,https://catalog.archives.gov/id/470766564,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-007.pdf#page=84,subject-print-470766564-84-memorandum
7,140,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,95,Bolivia,"Bolivia; Colombia; Peru",1989-11-22,"November 22, 1989",Volume date range,Memorandum,Telephone Call to Colombian President,"memorandum form; Presidential or NSC principals; narcotics, presidential diplomacy; document text visible in OCR",High,90,16,"narcotics; presidential diplomacy",,,,+5d 1989-11-27 - Memorandum of Telephone Conversation,,Latin American Directorate Chronological Files,"November 16, 1989-November 30, 1989 [2]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00303, CF00303-012, November 16, 1989-November 30, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-012.pdf,https://catalog.archives.gov/id/470766469,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-012.pdf#page=16,chronological-print-470766469-16-memorandum
8,140,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,95,Bolivia,"Bolivia; Colombia; Peru",1989-12-04,"December 4, 1989",Volume date range,Memorandum,Report by Bruce Gelb on His Trip to the Andean,"memorandum form; Presidential or NSC principals; narcotics, presidential diplomacy; document text visible in OCR",High,90,63,"narcotics; presidential diplomacy",,,,-7d 1989-11-27 - Memorandum of Telephone Conversation,,Latin American Directorate Chronological Files,"December 1, 1989-December 15, 1989 [2]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00303, CF00303-014, December 1, 1989-December 15, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-014.pdf,https://catalog.archives.gov/id/470766471,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-014.pdf#page=63,chronological-print-470766471-63-memorandum
9,140,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,95,Bolivia,"Bolivia; Colombia; Peru",1989-12-04,"December 4, 1989",Volume date range,Memorandum,Report by Bruce Gelb on His Trip to the Andean,"memorandum form; Presidential or NSC principals; Andean, drug, narcotics; document text visible in OCR",High,90,14,"Andean; drug; narcotics; presidential diplomacy",,,,-7d 1989-11-27 - Memorandum of Telephone Conversation,,Latin American Affairs Directorate Subject Files,Andean [Drug] Summit 1989 [1],"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-002, Andean [Drug] Summit 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-002.pdf,https://catalog.archives.gov/id/470766475,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-002.pdf#page=14,subject-print-470766475-14-memorandum
10,140,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,95,Bolivia,"Bolivia; Colombia; Peru",1989-12-18,"December 18, 1989",Volume date range,Memorandum,Appointment Request with the President,"memorandum form; Presidential or NSC principals; narcotics, presidential diplomacy; document text visible in OCR",High,90,12,"narcotics; presidential diplomacy",,,,+2d 1989-12-20 - Memorandum of Telephone Conversation,,Latin American Affairs Directorate Subject Files,"Bolivia - January 20, 1989-December 31, 1989","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-012, Bolivia - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-012.pdf,https://catalog.archives.gov/id/470766485,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-012.pdf#page=12,subject-print-470766485-12-memorandum
